         17603381 function calls (16933937 primitive calls) in 69.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
33037/32988    0.023    0.000    0.323    0.000 {built-in method builtins.next}
      106    0.004    0.000    0.320    0.003 artist.py:158(_update_set_signature_and_docstring)
        2    0.000    0.000    0.319    0.160 trainer.py:1(<module>)
    54165    0.038    0.000    0.318    0.000 __init__.py:280(_compile)
      105    0.000    0.000    0.315    0.003 artist.py:125(__init_subclass__)
    13124    0.003    0.000    0.314    0.000 __init__.py:766(create_time)
      255    0.220    0.001    0.312    0.001 _pslinux.py:677(_cpu_get_cpuinfo_freq)
        1    0.000    0.000    0.312    0.312 array_data_adapter.py:1(<module>)
       53    0.001    0.000    0.311    0.006 signature_analyzer.py:809(_extract_field_type_docs)
        1    0.000    0.000    0.311    0.311 array_slicing.py:1(<module>)
28500/6577    0.026    0.000    0.307    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.305    0.305 ragged_image_ops.py:1(<module>)
        1    0.000    0.000    0.304    0.304 image_ops.py:1(<module>)
        1    0.000    0.000    0.303    0.303 image_ops_impl.py:1(<module>)
   429/60    0.020    0.000    0.301    0.005 library.py:277(impl)
54374/53955    0.272    0.000    0.297    0.000 {built-in method posix.stat}
    93/18    0.001    0.000    0.297    0.016 custom_ops.py:296(inner)
     2764    0.013    0.000    0.296    0.000 __init__.py:811(read_text)
        1    0.000    0.000    0.293    0.293 _fsdp_init.py:1(<module>)
        1    0.000    0.000    0.287    0.287 app.py:220(cleanup)
        1    0.000    0.000    0.287    0.287 _flat_param.py:1(<module>)
      8/1    0.000    0.000    0.285    0.285 __init__.py:266(_make_prim)
      8/1    0.000    0.000    0.285    0.285 custom_ops.py:20(custom_op)
     10/1    0.000    0.000    0.285    0.285 custom_ops.py:117(inner)
   133/62    0.001    0.000    0.284    0.005 _ops.py:291(fallthrough)
        2    0.000    0.000    0.281    0.140 _stats_py.py:1(<module>)
        1    0.000    0.000    0.279    0.279 _fsdp_api.py:1(<module>)
        1    0.000    0.000    0.275    0.275 file_editor.py:1(<module>)
    25160    0.101    0.000    0.273    0.000 __init__.py:472(oneshot)
169157/161897    0.116    0.000    0.272    0.000 {built-in method __new__ of type object at 0x7fa23e3835a0}
    19504    0.026    0.000    0.264    0.000 <frozen importlib._bootstrap>:162(__enter__)
99907/99872    0.058    0.000    0.263    0.000 enum.py:726(__call__)
        1    0.000    0.000    0.257    0.257 pywrap_tensorflow.py:1(<module>)
        1    0.000    0.000    0.255    0.255 self_check.py:31(preload_check)
        2    0.000    0.000    0.250    0.125 feature_column_v2.py:1(<module>)
39122/38890    0.020    0.000    0.249    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  464/341    0.001    0.000    0.246    0.001 <frozen importlib._bootstrap_external>:1295(exec_module)
      120    0.001    0.000    0.246    0.002 artist.py:1832(kwdoc)
      636    0.003    0.000    0.246    0.000 _compiler.py:740(compile)
  464/341    0.062    0.000    0.245    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.243    0.243 figure.py:1(<module>)
      660    0.076    0.000    0.239    0.000 inspect.py:1232(getblock)
        2    0.000    0.000    0.239    0.120 optimizers.py:1(<module>)
    80877    0.131    0.000    0.238    0.000 inspect.py:2712(__init__)
     1515    0.003    0.000    0.237    0.000 ops.py:5986(to_raw_op)
        1    0.000    0.000    0.234    0.234 rcsetup.py:1(<module>)
     1515    0.002    0.000    0.234    0.000 tf_export.py:365(kwarg_only)
      543    0.002    0.000    0.233    0.000 _pslinux.py:1882(create_time)
        1    0.000    0.000    0.232    0.232 ObjectFactoryRegistrar.py:1420(ScreenPlateLinkObjectFactory)
    19504    0.188    0.000    0.232    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1880    0.001    0.000    0.231    0.000 __init__.py:226(compile)
       30    0.001    0.000    0.231    0.008 __init__.py:678(add_entry)
        2    0.000    0.000    0.230    0.115 feature_column.py:1(<module>)
        1    0.000    0.000    0.230    0.230 processing_context.py:1(<module>)
        1    0.000    0.000    0.228    0.228 nn_impl.py:1(<module>)
        1    0.000    0.000    0.226    0.226 _fsdp_extensions.py:1(<module>)
        3    0.000    0.000    0.225    0.075 models.py:1(<module>)
        1    0.000    0.000    0.222    0.222 _shard_utils.py:1(<module>)
        2    0.000    0.000    0.222    0.111 distributions.py:1(<module>)
